CMPD_CHEMBLID	CANONICAL_SMILES	PCHEMBL_VALUE	ASSAY_CHEMBLID
CHEMBL1086074	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc5OCOc5c4	4.4	CHEMBL1827362
CHEMBL1086098	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nnn(c4C)c5ccc(F)cc5F	5.55	CHEMBL1827362
CHEMBL1086273	COc1c(F)cccc1CC(N2CCNCC2)c3ccccc3	4.68	CHEMBL1120514
CHEMBL1086274	COc1cccc(F)c1CC(N2CCNCC2)c3ccccc3	5.07	CHEMBL1120514
CHEMBL1086275	FC(F)Oc1cccc(F)c1CC(N2CCNCC2)c3ccccc3	4.98	CHEMBL1120514
CHEMBL1086292	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cccs5	5.43	CHEMBL1827362
CHEMBL1086315	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C#N)s4	5.7	CHEMBL1827362
CHEMBL1086317	Cn1nccc1c2cc(NC(=O)c3cccc(c3)C(F)(F)F)ccc2OCCN4CCOCC4	6.05	CHEMBL1119165
CHEMBL1086513	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(s4)c5ccccc5	5.87	CHEMBL1827362
CHEMBL1086514	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5C=CC(=O)C=C5	4.7	CHEMBL1827362
CHEMBL1086520	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4onc(Br)c4	6.06	CHEMBL1827362
CHEMBL1086521	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nccs4	4.94	CHEMBL1827362
CHEMBL1086534	CCOC(=N)c1ccc(s1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2	5.32	CHEMBL1827362
CHEMBL1086561	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)N5CCOCC5	4.69	CHEMBL1827362
CHEMBL1086579	CN1CCN(CC1)c2nc3c(N4CCN(Cc5cc(C)on5)CC4)c(Br)cnc3[nH]2	5.52	CHEMBL1118846
CHEMBL1086582	CN1CCN(CC1)c2nc3c(N4CCN(Cc5cc(C)on5)CC4)c(Cl)cnc3[nH]2	5.64	CHEMBL1118846
CHEMBL1086626	Cc1[nH]c(cc1C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc4	7	CHEMBL1217370
CHEMBL1086754	Cc1c(cc(c2ccccc2)n1C)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4Cl	6.85	CHEMBL1217370
CHEMBL1086756	CCCn1c(C)c(cc1c2ccccc2)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4Cl	6.27	CHEMBL1217370
CHEMBL1087268	C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCN(C)CC3)c4ccc(F)cn4	4.89	CHEMBL1103133
CHEMBL1087269	C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCOCC3)c4ccc(F)cn4	4.92	CHEMBL1103133
CHEMBL1087367	COc1ccc(Cn2c(nc3ccccc23)N4CC[C@H](C4)N(C)C)cc1	6.31	CHEMBL1110017
CHEMBL1087493	CCOCCn1c(nc2ccccc12)N3CC[C@@H](C3)N(C)C	6.63	CHEMBL1110017
CHEMBL1088	CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)[S+](C)[O-]	6.26	CHEMBL829152
CHEMBL1088803	CCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3	4.44	CHEMBL1108890
CHEMBL1088804	CCCCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3	4.56	CHEMBL1108890
CHEMBL1088900	COc1nccnc1CC2=C(CCN(C)C)Cc3ccccc23	5.12	CHEMBL1115186
CHEMBL1088949	Cc1[nH]c2ccccc2c1CCN3Cc4ccc(\C=C\C(=O)NO)cc4C3	5.32	CHEMBL1111711
CHEMBL1089078	OCCN1CCC(CC1)N(C(=O)NCc2ccc(F)cc2)c3ccc(Br)cc3	5.1	CHEMBL1107892
CHEMBL1089159	OC(C(N1CCCC1)c2ccccc2)(c3cccnc3)c4cccnc4	4.7	CHEMBL1108890
CHEMBL1089164	Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(F)cc4)c2)cc1	4.42	CHEMBL1110812
CHEMBL1089210	Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(Cl)cc4)c2)cc1	4.53	CHEMBL1110812
CHEMBL1089301	Cc1[nH]c2ccccc2c1CCN3CCc4ccc(\C=C\C(=O)NO)cc4CC3	5.5	CHEMBL1111711
CHEMBL1089343	Cc1[nH]c2ccccc2c1C3CCCN(Cc4ccc(\C=C\C(=O)NO)cc4)C3	4.56	CHEMBL1111711
CHEMBL1089344	Cc1[nH]c2ccccc2c1C3CCN(Cc4ccc(\C=C\C(=O)NO)cc4)C3	4.87	CHEMBL1111711
CHEMBL1089359	Cc1[nH]c2ccccc2c1CC3CCCCN3Cc4ccc(\C=C\C(=O)NO)cc4	5.04	CHEMBL1111711
CHEMBL1089681	Clc1cc(Cl)cc(CNC(=O)N(C2CCN(CC2)C3CCCC3)c4ccc(Br)cc4)c1	7.22	CHEMBL1107892
CHEMBL1089700	Cc1[nH]c2ccccc2c1CCN3CCCC3c4ccc(\C=C\C(=O)NO)cc4	4.71	CHEMBL1111711
