BindingDB MonomerID	Ligand SMILES	IC50_Orexin2_nM
184018	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cc(ccc1F)-n1nccn1)-n1nccn1	837
184019	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccccc1-n1nccn1)-n1nccn1	2736
184020	COc1ccc(C[C@@H]2COCCN2C(=O)c2cc(C)ccc2-n2nccn2)cc1-c1ncon1	42
184021	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncon1	80
184022	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccc(C)cc2-n2nccn2)cc1-c1ncon1	34
184023	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccc(F)cc2-n2nccn2)cc1-c1ncon1	60
184024	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c(c1)-n1nccn1	404
184025	COc1ccc(C[C@@H]2COCCN2C(=O)c2c(C)cccc2-n2nccn2)cc1-c1ncon1	49
184026	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1ccc(C)c(c1)-n1nccn1)-n1nccn1	261
184028	Cc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-n1nccn1	992
184029	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2ccc(C)c(c2)-n2nccn2)c(c1)-n1nccn1	274
184030	C[C@@H]1COC[C@@H](Cc2cccc(c2)-n2nccn2)N1C(=O)c1ccccc1-n1nccn1	1297
184031	C[C@@H]1COC[C@@H](Cc2cccc(c2)-n2nccn2)N1C(=O)c1ccc(C)cc1-n1nccn1	314
184032	C[C@@H]1COC[C@@H](Cc2cccc(c2)-n2nccn2)N1C(=O)c1cccc(C)c1-n1nccn1	2610
184033	C[C@H]1COC[C@@H](Cc2cccc(c2)-n2nccn2)N1C(=O)c1ccc(C)cc1-n1nccn1	2190
184034	C[C@H]1COC[C@@H](Cc2cccc(c2)-n2nccn2)N1C(=O)c1cccc(C)c1-n1nccn1	2460
184035	C[C@H]1COC[C@@H](Cc2cccc(c2)-n2nccn2)N1C(=O)c1cc(C)ccc1-n1nccn1	1850
184036	C[C@H]1COC[C@@H](Cc2cccc(c2)-n2nccn2)N1C(=O)c1cc(C)c(C)cc1-n1nccn1	355
184037	Cc1cc(C)c(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	547
184038	FC(F)(F)c1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(c1)-n1nccn1	133
184039	Clc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(c1)-n1nccn1	96
184040	COc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(cc1F)-n1nccn1	528
184041	Cc1cc(C(=O)N2CCOC[C@H]2Cc2ccc(C)c(c2)-c2ncon2)c(cc1C)-n1nccn1	13
184042	Fc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncon2)c(cc1F)-n1nccn1	645
184043	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncon2)c(c1)-n1nccn1	212
184044	Fc1cccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncon2)c1-n1nccn1	1140
184045	Cc1cccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncon2)c1-n1nccn1	403
184046	Clc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ncon1)-n1nccn1	246
184047	Cc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncon2)c(cc1C)-n1nccn1	21
184048	Clc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncon2)c(c1)-n1nccn1	2652
184049	FC(F)(F)c1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncon2)c(c1)-n1nccn1	227
184050	Fc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ncon1)-n1nccn1	893
184051	Cc1cc(C)c(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ncon1)-n1nccn1	420
184052	Clc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncon1	475
184053	Fc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(cc1F)-n1nccn1	612
184054	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(c1C)-n1nccn1	2633
184055	COc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(c1)-n1nccn1	2086
184056	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c(c1C)-n1nccn1	3578
184057	COc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c(c1)-n1nccn1	1199
184058	C[C@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	390
184059	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1cccc(C)c1-n1nccn1	237
184060	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1cc(C)c(C)cc1-n1nccn1	24
184061	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1ccc(C)c(C)c1-n1nccn1	1223
184062	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1ccccc1-n1nccn1	289
184063	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	155
184064	Cc1ccc(c(c1)C(=O)N1CCOC[C@@]1(C)Cc1cccc(c1)-n1nccn1)-n1nccn1	1508
184065	Cc1cc(c(cc1Cl)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	47
184066	COc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(cc1Cl)-n1nccn1	117
184067	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(Cl)cc(c2)-n2nccn2)c(c1)-n1nccn1	101
184068	Cc1cccc(C(=O)N2CCOC[C@H]2Cc2cc(Cl)cc(c2)-n2nccn2)c1-n1nccn1	335
184069	Clc1cccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c1-n1nccn1	435
184070	C[C@@H]1CN([C@H](Cc2cccc(c2)-c2ncccn2)CO1)C(=O)c1ccccc1-n1nccn1	855
184071	C[C@@H]1CN([C@H](Cc2cccc(c2)-c2ncccn2)CO1)C(=O)c1cc(C)ccc1-n1nccn1	105
184072	C[C@@H]1CN([C@H](Cc2cccc(c2)-c2ncccn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	176
184073	C[C@@H]1CN([C@H](Cc2cccc(c2)-c2ncccn2)CO1)C(=O)c1cccc(C)c1-n1nccn1	983
184074	C[C@@H]1CN([C@H](Cc2cccc(c2)-c2ncccn2)CO1)C(=O)c1ccc(C)c(C)c1-n1nccn1	839
